Brand,Model,Case Material,Strap Material,Movement Type,Dial Color,Crystal Material,Complications,Price (USD),Price Category,Water Resistance (m)
Chopard,Mille Miglia,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Chronograph,5900,Middle,50
Longines,Master Collection,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,1500,Cheap,30
Montblanc,Heritage,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,2700,Cheap,50
Zenith,El Primero,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Chronograph,6500,Middle,100
Rolex,Datejust,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,7800,Middle,100
Omega,Speedmaster,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,"Chronograph, Date",5300,Cheap,50
TAG Heuer,Monaco,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,Chronograph,5900,Middle,100
Breitling,Superocean,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,3800,Cheap,1000
Cartier,Ballon Bleu,STAINLESS STEEL,Stainless Steel,Automatic,Silver,Sapphire,Date,7500,Middle,30
Jaeger-LeCoultre,Master Ultra Thin,STAINLESS STEEL,Leather,Automatic,White,Sapphire,Date,6200,Middle,50
Rolex,GMT-Master II,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,"GMT, Date",9500,Expensive,100
Omega,Aqua Terra,STAINLESS STEEL,Stainless Steel,Automatic,Silver,Sapphire,Date,4700,Cheap,150
TAG Heuer,Aquaracer,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,2700,Cheap,300
Breitling,Avenger II,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,"Chronograph, Date",4600,Cheap,300
Omega,Speedmaster,STAINLESS STEEL,Stainless Steel,Manual,Black,Sapphire,Chronograph,5400,Cheap,50
TAG Heuer,Monaco,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,Chronograph,6550,Middle,100
Cartier,Santos-Dumont,STAINLESS STEEL,Leather,Quartz,Silver,Sapphire,,5300,Cheap,30
Breitling,Superocean,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,3850,Cheap,1000
Patek Philippe,Calatrava,WHITE GOLD,Leather,Automatic,Silver,Sapphire,,25800,Expensive,30
Tudor,Black Bay,STAINLESS STEEL,Fabric,Automatic,Black,Sapphire,Date,4100,Cheap,200
Blancpain,Fifty Fathoms,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,Date,12900,Expensive,300
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,,6900,Middle,30
Vacheron Constantin,Overseas,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,19800,Expensive,150
Omega,Speedmaster Moonwatch,STAINLESS STEEL,Stainless Steel,Manual,Black,Hesalite,Chronograph,5400,Cheap,50
Hublot,Classic Fusion,18K KING GOLD,Rubber,Automatic,Blue,Sapphire,,20200,Expensive,50
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,24800,Expensive,50
IWC,Pilot's Watch,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,4800,Cheap,60
Tudor,Black Bay GMT,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,GMT,4000,Cheap,200
Breguet,Classique,18K WHITE GOLD,Leather,Manual,White,Sapphire,,22500,Expensive,30
Blancpain,Fifty Fathoms,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,Date,12500,Expensive,300
Chopard,Mille Miglia,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Chronograph,6900,Middle,50
Panerai,Luminor,TITANIUM,Leather,Automatic,Black,Sapphire,,7500,Middle,100
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,"Date, Stopwatch",25000,Expensive,50
IWC,Pilot's Watch,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,"Date, Stopwatch",5500,Middle,60
Blancpain,Fifty Fathoms,TITANIUM,Fabric,Automatic,Black,Sapphire,Date,12000,Expensive,300
Ulysse Nardin,Marine,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,"Date, Power Reserve",7500,Middle,100
Breguet,Classique,ROSE GOLD,Leather,Automatic,Silver,Sapphire,,20000,Expensive,30
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,,8500,Expensive,100
Hublot,Big Bang,CERAMIC,Rubber,Automatic,Black,Sapphire,"Date, Chronograph",12000,Expensive,100
Zenith,Chronomaster,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,"Date, Chronograph",6000,Middle,100
Vacheron Constantin,Overseas,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,12000,Expensive,150
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,22000,Expensive,50
Hublot,Classic Fusion,TITANIUM,Rubber,Automatic,Blue,Sapphire,Date,8500,Expensive,50
Panerai,Luminor Marina,STAINLESS STEEL,Leather,Manual,Black,Sapphire,,7200,Middle,300
Breguet,Classique,18K WHITE GOLD,Leather,Manual,Silver,Sapphire,,16000,Expensive,30
Ulysse Nardin,Marine,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,8900,Expensive,100
IWC,Portugieser Chronograph,STAINLESS STEEL,Leather,Automatic,White,Sapphire,Chronograph,7600,Middle,30
Montblanc,1858 Geosphere,TITANIUM,Leather,Automatic,Black,Sapphire,GMT,6500,Middle,100
Vacheron Constantin,Overseas,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,21000,Expensive,150
Zenith,Chronomaster El Primero,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Chronograph,6000,Middle,100
Rolex,Daytona,18K YELLOW GOLD,Leather,Automatic,Champagne,Sapphire,Chronograph,29500,Expensive,100
IWC,Portuguese,STAINLESS STEEL,Leather,Automatic,White,Sapphire,Date,8800,Expensive,30
Blancpain,Fifty Fathoms,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,Date,13500,Expensive,300
Hublot,Big Bang,CARBON FIBER,Rubber,Automatic,Black,Sapphire,Chronograph,19500,Expensive,100
Ulysse Nardin,Marine,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,7000,Middle,100
Breguet,Classique,18K WHITE GOLD,Leather,Manual,Silver,Sapphire,,23000,Expensive,30
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,9500,Expensive,100
Piaget,Altiplano,18K WHITE GOLD,Leather,Manual,Silver,Sapphire,,18500,Expensive,30
Vacheron Constantin,Patrimony,18K ROSE GOLD,Leather,Manual,Silver,Sapphire,,22500,Expensive,30
Panerai,Luminor Marina,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,"Date, GMT",7500,Middle,300
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,Date,6500,Middle,30
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,20000,Expensive,50
Hublot,Big Bang,CARBON FIBER,Rubber,Automatic,Black,Sapphire,Chronograph,12000,Expensive,100
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,6500,Middle,100
Chopard,Mille Miglia,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Chronograph,6200,Middle,50
Vacheron Constantin,Overseas,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,15000,Expensive,150
Piaget,Altiplano,WHITE GOLD,Leather,Manual,Silver,Sapphire,,22000,Expensive,30
Zenith,El Primero,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Chronograph,5500,Middle,100
Breguet,Classique,WHITE GOLD,Leather,Automatic,Silver,Sapphire,,19000,Expensive,30
Tudor,Black Bay,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,,3500,Cheap,200
Omega,Speedmaster,STAINLESS STEEL,Stainless Steel,Automatic,Black,Hesalite,Chronograph,5000,Cheap,50
Cartier,Santos,STAINLESS STEEL,Stainless Steel,Automatic,Silver,Sapphire,Date,6200,Middle,100
TAG Heuer,Aquaracer,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,3100,Cheap,300
Breitling,Superocean,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,4100,Cheap,1000
Panerai,Luminor Marina,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,,6500,Middle,300
Zenith,Elite Classic,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,4900,Cheap,50
Longines,Conquest Classic,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,1850,Cheap,50
Montblanc,Star Legacy,STAINLESS STEEL,Leather,Automatic,White,Sapphire,"Date, Moonphase",3900,Cheap,50
Baume & Mercier,Clifton Baumatic,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,2750,Cheap,50
Rolex,Datejust,STAINLESS STEEL,Jubilee Bracelet,Automatic,Blue,Sapphire,Date,9500,Expensive,100
Omega,Speedmaster Moonwatch,STAINLESS STEEL,Stainless Steel,Manual,Black,Hesalite,"Chronograph, Tachymeter",5350,Cheap,50
Breitling,Superocean Heritage,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,3250,Cheap,200
TAG Heuer,Monaco,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,Chronograph,4950,Cheap,100
Jaeger-LeCoultre,Master Control,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,"Date, Moonphase",6500,Middle,50
Panerai,Luminor,TITANIUM,Rubber,Manual,Black,Sapphire,,8500,Expensive,300
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,27000,Expensive,50
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Chronograph,7250,Middle,30
Patek Philippe,Calatrava,18K WHITE GOLD,Leather,Manual,White,Sapphire,,25000,Expensive,30
Bell & Ross,BR 03-92,CERAMIC,Rubber,Automatic,Black,Sapphire,,3800,Cheap,100
Omega,Speedmaster,STAINLESS STEEL,Stainless Steel,Manual,Black,Hesalite,"Chronograph, Tachymeter",4500,Cheap,50
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,28500,Expensive,50
IWC,Pilot's Watch Mark,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,"Date, Chronograph",6800,Middle,60
Hublot,Big Bang,CERAMIC,Rubber,Automatic,Black,Sapphire,Chronograph,16000,Expensive,100
Breguet,Classique,18K WHITE GOLD,Leather,Automatic,Silver,Sapphire,,19000,Expensive,30
Blancpain,Fifty Fathoms,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,Date,13500,Expensive,300
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,8000,Middle,100
Jaquet Droz,Grande Seconde,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,,10000,Expensive,30
Rolex,GMT-Master II,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,"Date, GMT",9700,Expensive,100
Patek Philippe,Nautilus,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,29800,Expensive,120
Omega,Speedmaster,STAINLESS STEEL,Stainless Steel,Manual,Black,Hesalite,Chronograph,5350,Cheap,50
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,18500,Expensive,50
IWC,Pilot's Watch,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,4950,Cheap,60
Zenith,El Primero,STAINLESS STEEL,Leather,Automatic,White,Sapphire,"Chronograph, Date",7900,Middle,100
Hublot,Big Bang,TITANIUM,Rubber,Automatic,Black,Sapphire,"Chronograph, Date",16000,Expensive,100
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,12800,Expensive,100
Jaeger-LeCoultre,Master Control,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,"Date, Power Reserve Indicator",8500,Expensive,50
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,"Date, Power Reserve Indicator",8500,Expensive,30
Panerai,Luminor,TITANIUM,Rubber,Automatic,Black,Sapphire,"Date, Sub Seconds",7500,Middle,300
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,19500,Expensive,50
Hublot,Big Bang,TITANIUM,Rubber,Automatic,Black,Sapphire,"Date, Chronograph",13000,Expensive,100
Zenith,El Primero,STAINLESS STEEL,Leather,Automatic,White,Sapphire,"Date, Chronograph, Moon Phase",7500,Middle,100
Vacheron Constantin,Overseas,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,"Date, World Time",23000,Expensive,150
Breguet,Classique,18K WHITE GOLD,Leather,Manual,Silver,Sapphire,,24000,Expensive,30
Blancpain,Fifty Fathoms,STAINLESS STEEL,Fabric,Automatic,Black,Sapphire,"Date, Power Reserve Indicator",11000,Expensive,300
Chopard,Mille Miglia,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,"Date, Chronograph",6000,Middle,50
Omega,Speedmaster,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,"Chronograph, Tachymeter",6500,Middle,50
TAG Heuer,Aquaracer,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,3700,Cheap,300
Breitling,Superocean,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,Date,4500,Cheap,200
Jaeger-LeCoultre,Master Control,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,"Date, Power Reserve",6000,Middle,50
Rolex,GMT-Master II,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Dual Time Zone,9500,Expensive,100
Omega,Constellation,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,4800,Cheap,100
TAG Heuer,Monaco,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,Chronograph,5200,Cheap,100
Breitling,Chronomat,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,"Chronograph, Date",6900,Middle,200
Rolex,Datejust,STAINLESS STEEL,Stainless Steel,Automatic,White,Sapphire,Date,8000,Middle,100
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,18000,Expensive,50
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,White,Sapphire,Date,7500,Middle,30
Hublot,Big Bang,TITANIUM,Rubber,Automatic,Black,Sapphire,Chronograph,14000,Expensive,100
Blancpain,Fifty Fathoms,STAINLESS STEEL,Canvas,Automatic,Black,Sapphire,Date,14000,Expensive,300
Breguet,Classique,ROSE GOLD,Leather,Manual,Silver,Sapphire,,25000,Expensive,30
Jaeger-LeCoultre,Master Ultra Thin,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,,6500,Middle,50
Zenith,El Primero,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Chronograph,7000,Middle,100
Bulgari,Octo Finissimo,TITANIUM,Titanium,Automatic,Black,Sapphire,,10000,Expensive,30
Rolex,GMT-Master II,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,"GMT, Date",9450,Expensive,100
Patek Philippe,Nautilus,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,29800,Expensive,120
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,"Date, Chronograph",22300,Expensive,50
Hublot,Classic Fusion,TITANIUM,Rubber,Automatic,Black,Sapphire,Date,8100,Middle,50
IWC,Pilot's Watch Mark XVIII,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,3900,Cheap,60
A. Lange & Söhne,Saxonia,ROSE GOLD,Leather,Manual,Silver,Sapphire,,23300,Expensive,30
Breguet,Classique,ROSE GOLD,Leather,Automatic,Silver,Sapphire,Date,23200,Expensive,30
Chopard,Mille Miglia,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,"Date, Chronograph, Tachymeter",6300,Middle,50
Zenith,El Primero,STAINLESS STEEL,Leather,Automatic,White,Sapphire,"Date, Chronograph",5600,Middle,100
Panerai,Luminor,TITANIUM,Leather,Manual,Black,Sapphire,,6900,Middle,100
Rolex,Daytona,STAINLESS STEEL,Stainless Steel,Automatic,White,Sapphire,Chronograph,13500,Expensive,100
Omega,Speedmaster,STAINLESS STEEL,Stainless Steel,Manual,Black,Hesalite,Chronograph,4500,Cheap,50
Cartier,Santos,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,6600,Middle,100
TAG Heuer,Aquaracer,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,2800,Cheap,300
Jaeger-LeCoultre,Master Ultra Thin,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,,6300,Middle,50
Patek Philippe,Calatrava,18K ROSE GOLD,Leather,Manual,White,Sapphire,,22900,Expensive,30
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,22500,Expensive,50
Zenith,El Primero,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Chronograph,6900,Middle,100
Vacheron Constantin,Overseas,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,"Date, World Time",20200,Expensive,150
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,,7600,Middle,30
Panerai,Luminor Marina,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,6500,Middle,300
Patek Philippe,Nautilus,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,34000,Expensive,120
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,White,Sapphire,Date,9500,Expensive,30
Hublot,Big Bang,CERAMIC,Rubber,Automatic,Black,Sapphire,Chronograph,14000,Expensive,100
Breguet,Classique,18K ROSE GOLD,Leather,Manual,Silver,Sapphire,,26000,Expensive,30
Zenith,El Primero,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Chronograph,7000,Middle,100
Blancpain,Fifty Fathoms,STAINLESS STEEL,NATO strap,Automatic,Black,Sapphire,,10000,Expensive,300
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,11500,Expensive,100
Ulysse Nardin,Marine,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,Date,7500,Middle,100
Vacheron Constantin,Overseas,STAINLESS STEEL,Stainless Steel,Automatic,Silver,Sapphire,Date,20000,Expensive,150
Patek Philippe,Nautilus,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,26000,Expensive,120
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Grey,Sapphire,Date,17000,Expensive,50
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,White,Sapphire,Chronograph,7800,Middle,30
A. Lange & Söhne,Saxonia,18K ROSE GOLD,Leather,Manual,Silver,Sapphire,,17500,Expensive,30
Vacheron Constantin,Overseas,STAINLESS STEEL,Rubber,Automatic,Blue,Sapphire,Date,20000,Expensive,150
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Chronograph,12000,Expensive,100
Zenith,El Primero,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Chronograph,7500,Middle,100
Blancpain,Fifty Fathoms,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,Date,14000,Expensive,300
Hublot,Classic Fusion,TITANIUM,Rubber,Automatic,Blue,Sapphire,,9500,Expensive,50
Breguet,Classique,18K WHITE GOLD,Leather,Manual,Silver,Sapphire,,22000,Expensive,30
Piaget,Polo,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,10500,Expensive,100
Patek Philippe,Nautilus,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,29000,Expensive,120
Hublot,Classic Fusion,TITANIUM,Rubber,Automatic,Blue,Sapphire,,7500,Middle,50
Breguet,Classique,ROSE GOLD,Leather,Automatic,Silver,Sapphire,,25000,Expensive,30
IWC,Pilot's Watch,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,5900,Middle,60
Blancpain,Fifty Fathoms,STAINLESS STEEL,NATO Strap,Automatic,Black,Sapphire,Date,12000,Expensive,300
Zenith,El Primero,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Chronograph,6200,Middle,100
Chopard,Mille Miglia,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,Chronograph,6800,Middle,50
Vacheron Constantin,Patrimony,WHITE GOLD,Leather,Manual,Silver,Sapphire,,28000,Expensive,30
Panerai,Luminor,TITANIUM,Leather,Automatic,Black,Sapphire,,9500,Expensive,300
Tudor,Black Bay,STAINLESS STEEL,NATO Strap,Automatic,Black,Sapphire,,3500,Cheap,200
Panerai,Luminor Marina,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,7200,Middle,300
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,,7900,Middle,30
Blancpain,Fifty Fathoms,STAINLESS STEEL,Canvas,Automatic,Black,Sapphire,Date,15000,Expensive,300
Breguet,Classique,18K YELLOW GOLD,Leather,Automatic,Silver,Sapphire,Date,26000,Expensive,30
Zenith,Chronomaster,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,Chronograph,6500,Middle,50
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,12000,Expensive,100
Hublot,Big Bang,TITANIUM,Rubber,Automatic,Black,Sapphire,Chronograph,18500,Expensive,100
Jaquet Droz,Grande Seconde,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,,9500,Expensive,30
Montblanc,Star Legacy,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,3500,Cheap,50
Rolex,GMT-Master II,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,"GMT, Date",9900,Expensive,100
Omega,Speedmaster,STAINLESS STEEL,Stainless Steel,Manual,Black,Hesalite,Chronograph,4300,Cheap,50
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,White,Sapphire,,7500,Middle,30
Hublot,Big Bang,CERAMIC,Rubber,Automatic,Black,Sapphire,Chronograph,15500,Expensive,100
Panerai,Luminor Marina,STAINLESS STEEL,Leather,Manual,Black,Sapphire,,5200,Cheap,300
Patek Philippe,Calatrava,WHITE GOLD,Leather,Automatic,White,Sapphire,Date,25000,Expensive,30
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,19500,Expensive,50
Vacheron Constantin,Patrimony,ROSE GOLD,Leather,Automatic,White,Sapphire,,15000,Expensive,30
Blancpain,Fifty Fathoms,TITANIUM,Fabric,Automatic,Black,Sapphire,,14000,Expensive,300
Girard-Perregaux,Laureato,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,,7500,Middle,100
Jaquet Droz,Grande Seconde,STAINLESS STEEL,Leather,Automatic,White,Sapphire,,8500,Expensive,30
Omega,Speedmaster,STAINLESS STEEL,Stainless Steel,Manual,Black,Hesalite,Chronograph,5200,Cheap,50
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,"Date, Power Reserve",25000,Expensive,50
IWC,Portugieser,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,,9100,Expensive,30
Jaeger-LeCoultre,Master Control,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,"Date, Moonphase",8200,Expensive,50
Blancpain,Fifty Fathoms,STAINLESS STEEL,Canvas,Automatic,Black,Sapphire,Date,12500,Expensive,300
Breguet,Classique,18K ROSE GOLD,Leather,Automatic,White,Sapphire,"Date, Moonphase",27900,Expensive,30
Chopard,Mille Miglia,STAINLESS STEEL,Rubber,Automatic,Black,Sapphire,"Chronograph, Date",6500,Middle,50
Seiko,Prospex,STAINLESS STEEL,Silicone,Automatic,Black,Hardlex,"Date, GMT",1200,Cheap,200
IWC,Pilot's Watch,STAINLESS STEEL,Leather,Automatic,Black,Sapphire,Date,4500,Cheap,60
Panerai,Luminor Marina,TITANIUM,Rubber,Automatic,Black,Sapphire,,9500,Expensive,300
Patek Philippe,Nautilus,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,35000,Expensive,120
Audemars Piguet,Royal Oak,STAINLESS STEEL,Stainless Steel,Automatic,Black,Sapphire,Date,24000,Expensive,50
Breguet,Classique,18K ROSE GOLD,Leather,Automatic,White,Sapphire,Date,21500,Expensive,30
Blancpain,Fifty Fathoms,STAINLESS STEEL,Fabric,Automatic,Black,Sapphire,Date,13500,Expensive,300
Longines,Master Collection,STAINLESS STEEL,Leather,Automatic,Blue,Sapphire,Date,1800,Cheap,30
Vacheron Constantin,Overseas,STAINLESS STEEL,Stainless Steel,Automatic,Blue,Sapphire,Date,19000,Expensive,150
Frederique Constant,Classics,STAINLESS STEEL,Leather,Automatic,Silver,Sapphire,Date,1200,Cheap,50
